id;title;author;authorId;description;img;longitude;latitude;begin;ending;category;subcategories
834;Seminario Postnaturaleza y Creación Contemporánea;DemoEM;834;;;-3.692206111679657;40.419011767401095;2021-11-17T00:00:00.0Z;2021-12-22T23:59:00.0Z;Leisure;CursosTalleres
835;Senda 'Aprendemos a orientarnos por el parque del Retiro';DemoEM;835;;;-3.6793290785184363;40.40911512464532;2021-11-28T11:00:00.0Z;2021-11-28T23:59:00.0Z;Leisure;ItinerariosOtrasActividadesAmbientales
836;Senda 'Los árboles autóctonos en el parque del Retiro';DemoEM;836;;;-3.6793290785184363;40.40911512464532;2021-11-20T11:00:00.0Z;2021-11-20T23:59:00.0Z;Leisure;ItinerariosOtrasActividadesAmbientales
837;Senda 'Los árboles autóctonos en el parque del Retiro';DemoEM;837;;;-3.6793290785184363;40.40911512464532;2021-11-26T16:30:00.0Z;2021-11-26T23:59:00.0Z;Leisure;ItinerariosOtrasActividadesAmbientales
838;Senda 'Los orígenes del Retiro';DemoEM;838;;;-3.6793290785184363;40.40911512464532;2021-11-12T16:30:00.0Z;2021-11-12T23:59:00.0Z;Leisure;ItinerariosOtrasActividadesAmbientales
839;Sentir la arcilla;DemoEM;839;;;-3.6292874542291638;40.44774002225867;2021-11-06T00:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;CursosTalleres
840;Seremos Tango;DemoEM;840;FUNDACIÓN AMYC   DÚO ROMINA BALETRINO &amp,amp, SERGIO MENEM  'Seremos Tango' 'Seremos Tango' es el nuevo espectáculo de Romina Balestrino. Es un espectáculo que hace un recorrido por el tango en sus diferentes variantes, tales como los valses ;;-3.7705718336913936;40.455461881519724;2021-11-25T19:00:00.0Z;2021-11-25T23:59:00.0Z;Leisure;Musica
841;Servir;DemoEM;841;Jornadas día internacional de la eliminación de la violencia contra la mujer distrito de Latina. Teatro con la compañía 'La Meduse' basada en la obra 'Las Criadas' de Jean Genet.;;-3.749110841406562;40.40159394334669;2021-11-26T19:00:00.0Z;2021-11-26T23:59:00.0Z;Leisure;TeatroPerformance
842;Shinova;DemoEM;842;;;-3.698601359753866;40.40596423138839;2022-02-06T19:00:00.0Z;2022-02-06T23:59:00.0Z;Leisure;Musica
843;Silencio;DemoEM;843;;;-3.7001663599562105;40.41482868269558;2022-01-07T19:00:00.0Z;2022-02-13T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
844;Silvina Rodriguez presenta, 'Porque yo lo Valgo';DemoEM;844;Jornadas día internacional de la eliminación de la violencia contra la mujer distrito de Latina. Los cuentos seleccionados en este espectáculo proponen alternativas y ejemplos claros de cómo se puede prevenir la violencia de género desde muy te;;-3.7327010920242043;40.40647389284976;2021-11-27T12:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;CuentacuentosTiteresMarionetas
845;Solas (1999);DemoEM;845;;;-3.717140510927299;40.39164343238081;2021-11-27T19:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;CineActividadesAudiovisuales
846;SolazLabs (Encuentro/muestra);DemoEM;846;Compañía Antonio Ruz. Entre las actividades de su compañía, Antonio Ruz propone una serie de encuentros altruistas a modo de laboratorio creativo invitando a bailarines y músicos de diferentes disciplinas en torno a la improvisación. La experim;;-3.655261744717257;40.49035310157377;2021-11-28T18:00:00.0Z;2021-11-28T23:59:00.0Z;Leisure;DanzaBaile
847;Soleá Morente;DemoEM;847;Hablar de Soleá Morente es como hablar de una encrucijada. Un sitio donde se entremezclan diferentes caminos: unos vienen del pop, otros del flamenco, otros del rock… En el justo punto donde todos se cruzan, nace ella. Un territorio que, hasta ;;-3.692206111679657;40.419011767401095;2021-12-09T19:30:00.0Z;2021-12-09T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
848;Solo Moisés - Chamartin;DemoEM;848;;;-3.6762309620097398;40.44810636195716;2021-11-12T19:00:00.0Z;2021-11-12T23:59:00.0Z;Leisure;1ciudad21distritos
849;Somos polvo;DemoEM;849;;;-3.621741078700336;40.42027705095574;2021-11-13T19:00:00.0Z;2021-11-13T23:59:00.0Z;Leisure;Musica
850;Sótano 4 Sax;DemoEM;850;Formación instrumental de saxofones que nos conduce a través de un repertorio muy variado, interpretando grandes obras musicales para el cine como El Padrino de Nino Rota, La Pantera Rosa de Henry Mancini o El Libro de la Selva de George Bruns.;;-3.6504253324201104;40.42447060804354;2021-11-12T19:00:00.0Z;2021-11-12T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
851;Spiderman, un nuevo universo;DemoEM;851;Cine Infantil  Dirección: Bob Persichetti, Peter Ramsey, Rodney Rothman Género: Superhéroes, acción. Reparto: Animación. Sinopsis: Nueva película sobre el popular superhéroe Spider-Man. En esta ocasión conoceremos a Miles Morales, un joven que ;;-3.646536107063507;40.40609591857167;2021-11-13T12:00:00.0Z;2021-11-13T23:59:00.0Z;Leisure;CineActividadesAudiovisuales
852;Spirit of New Orleans Gospel Choir presenta The Sound of New Orleans;DemoEM;852;;;-3.6899208519663427;40.424926347610764;2021-12-10T20:00:00.0Z;2021-12-12T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
853;Steam States;DemoEM;853;;;-3.709138377702435;40.47900813206291;2021-11-20T17:00:00.0Z;2021-11-20T23:59:00.0Z;Leisure;CursosTalleres
854;Stop Making Sense;DemoEM;854;;;-3.6958079719260075;40.391053041229135;2021-03-01T00:00:00.0Z;2021-12-31T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
855;Sueños de un seductor;DemoEM;855;de Woody Allen (versión de Ramón Paso). A cargo de la compañía Paso Azorín. Sinopsis: Allan Fix es un neurótico, recién llegado a la cuarentena, al que abandona su mujer, Nancy, con la excusa de que a su matrimonio le faltan risas y le sobran p;;-3.700271645324868;40.45907130615822;2021-11-15T19:00:00.0Z;2021-11-15T23:59:00.0Z;Leisure;TeatroPerformance
856;Sunakay;DemoEM;856;;;-3.6985778802913103;40.393432756132874;2021-11-27T12:00:00.0Z;2021-11-27T23:59:00.0Z;Leisure;None
857;Super Superlike;DemoEM;857;;;-3.710182353581842;40.42802889001877;2021-11-30T00:00:00.0Z;2022-04-17T23:59:00.0Z;Leisure;ProgramacionDestacadaAgendaCultura
